Company,Company Score,Job Title,Location,Date,Salary,Maximum Salary
ViewSoft,4.8,Software Engineer,"Manassas, VA",8d,$68K - $94K ,94000.0
Workiva,4.3,Software Support Engineer,Remote,2d,$61K - $104K ,104000.0
"Garmin International, Inc.",3.9,C# Software Engineer,"Cary, NC",2d,$95K - $118K ,118000.0
Snapchat,3.5,"Software Engineer, Fullstack, 1+ Years of Experience","Los Angeles, CA",2d,$97K - $145K ,145000.0
Vitesco Technologies Group AG,3.1,Software Engineer,"Seguin, TX",2d,$85K - $108K ,108000.0
Spotify,3.9,Backend Engineer II,"New York, NY",1d,$123K - $175K ,175000.0
Infor,4.0,Associate Software Engineer,"Alpharetta, GA",7d,$77K - $94K ,94000.0
Amerisoft Corporation,5.0,Software Developers,"Farmington Hills, MI",30d+,$71K - $100K ,100000.0
WHOOP,3.3,"Software Engineer II (Backend, Health)","Boston, MA",10d,$94K - $148K ,148000.0
PFF,4.2,Sr. Software Engineer,Remote,1d,$147K - $189K ,189000.0
Salesforce,4.1,MTS Software Engineer,"San Francisco, CA",5d,$90K - $113K ,113000.0
"HealthMine Services, Inc.",3.8,Software Engineer,Remote,1d,$54K - $79K ,79000.0
Honeywell,4.1,Software Engineer I,"Aguadilla, PR",2d,$91K - $135K ,135000.0
Legrand AV,3.7,Software Engineer,Minneapolis-Saint Paul,2d,$70K - $135K ,135000.0
Athenahealth,4.0,"Software Engineer, athenaCollector – RCM Rules","Boston, MA",2d,$192K - $288K ,288000.0
Amex,4.1,Java Engineer,"Plantation, FL",6d,$100K - $125K ,125000.0
SOFT LABS NA,5.0,Entry Level to Senior Level Software Developers,"Northborough, MA",30d+,$85K - $127K ,127000.0
Snapchat,3.5,"Software Engineer, C++","Los Angeles, CA",2d,$69K - $109K ,109000.0
Hertz,3.2,Software Engineer,"Seattle, WA",2d,$124K - $234K ,234000.0
"7-Eleven, Inc.",3.4,Software Engineer,"Irving, TX",1d,$85K - $150K ,150000.0
"Summit Technologies, Inc.",4.2,Software Engineer,"Springfield, MA",10d,$48K - $89K ,89000.0
Adobe,2.9,Software Development Engineer,"San Jose, CA",10d,$66K - $97K ,97000.0
The MITRE Corporation,4.0,Associate Software Engineer,"Bedford, MA",2d,$108K - $199K ,199000.0
Boston Children's Hospital,4.1,Software Engineer - HA (Hybrid),"Boston, MA",30d+,$102K - $173K ,173000.0
Amex,3.2,Engineer - React/JavaScript,"Sunrise, FL",5d,$124K - $142K ,142000.0
Ahold Delhaize USA,4.0,Software Engineer - Martech,"Carlisle, PA",2d,$94K - $133K ,133000.0
Artera Technologies,4.2,Software Engineers,"Annapolis Junction, MD",6d,$70K - $116K ,116000.0
Adobe,4.3,Software Engineer,"Lehi, UT",13d,$142K - $178K ,178000.0
Workiva,3.5,Senior Software Engineer,Remote,3d,$87K - $135K ,135000.0
Samsung Electronics,3.4,Software Engineer,"Mountain View, CA",2d,$77K - $182K ,182000.0
IPG Photonics,3.7,Software Engineer,"Oxford, MA",4d,$101K - $144K ,144000.0
Crafty,3.3,Software Engineer,"Chicago, IL",2d,$101K - $168K ,168000.0
"Crunchyroll, LLC",4.2,"Software Engineer III, Payments","San Francisco, CA",13d,$74K - $118K ,118000.0
LEGO,3.9,Backend Software Engineer,"Irvine, CA",9d,$100K - $200K ,200000.0
Principal Financial Group,4.1,Experienced Software Engineer,"Des Moines, IA",2d,$51K - $78K ,78000.0
INTEL,3.4,Security Software Engineer,"Phoenix, AZ",22d,$71K - $237K ,237000.0
Hasbro,4.4,"Software Engineer, Unreal Engine","Renton, WA",18d,$87K - $116K ,116000.0
Software Engineering Institute,4.2,Software Engineer,"Pittsburgh, PA",30d+,$116K - $184K ,184000.0
University of Dayton,4.4,Associate Software Engineer,"Dayton, OH",2d,$75K - $103K ,103000.0
MIT,3.7,Software Developer,"Cambridge, MA",17d,$155K - $221K ,221000.0
Amazon.com Services LLC,5.0,Software Dev Engineer - Computer Science,"Seattle, WA",2d,$112K - $165K ,165000.0
DaqScribe Solutions,3.9,Jr. Software Engineer,United States,10d,$73K - $109K ,109000.0
West Virginia University,4.5,Software Engineer - Libraries,"Morgantown, WV",4d,$120K - $150K ,150000.0
Noblis,2.0,Software Engineer (All Levels),"Chantilly, VA",1d,$77K - $87K ,87000.0
eimagine,3.5,Software Engineer,United States,30d+,$65K - $90K ,90000.0
CSL SOFTWARE SOLUTIONS,4.1,Software/Database Developer,"Burlington, VT",18d,$74K - $101K ,101000.0
Chewy,3.8,Software Engineer II,"Bellevue, WA",2d,$74K - $111K ,111000.0
ERPA,4.3,Software Test Engineer,"Dublin, OH",2d,$147K - $186K ,186000.0
Afterpay,4.1,"Software Engineer, Incentive","Seattle, WA",3d,$129K - $174K ,174000.0
Harvard University,5.0,Software Engineer,"Boston, MA",30d+,$89K - $125K ,125000.0
Brooks Automation,3.0,Software Development Engineer,"Fremont, CA",4d,$165K - $190K ,190000.0
DLRdmv,3.5,Software Engineer,"Dallas, TX",2d,$110K - $160K ,160000.0
Movius Interactive Corporation,3.3,Software Engineer- Frontend,"Fremont, CA",1d,$61K - $110K ,110000.0
State Street,3.7,Software Engineer,"Burlington, MA",3d,$94K - $154K ,154000.0
"Sonalysts, Inc.",3.8,Junior Software Engineer,"Waterford, CT",1d,$75K - $115K ,115000.0
"Preco, LLC",3.6,Software Engineer,"Somerset, WI",4d,$62K - $106K ,106000.0
HealthStream,3.6,Software Developer,"Nashville, TN",10d,$72K - $118K ,118000.0
Aptiv plc,4.0,Software Engineer,"Troy, MI",30d+,$75K - $118K ,118000.0
Zipongo,3.8,Software Engineer - Epic Integrations,Remote,30d+,$98K - $137K ,137000.0
Snowflake,3.7,Software Engineer - Snowpark,"Bellevue, WA",2d,$113K - $150K ,150000.0
Staffed4U,4.2,Software Engineer (Level 0 - Level II),"Annapolis Junction, MD",10d,$110K - $140K ,140000.0
Honeycomb.io,4.2,Midlevel Site Reliability Engineer,United States,10d,$141K - $179K ,179000.0
Topaz Labs,3.8,"Software Engineer, Infrastructure","Dallas, TX",8d,$77K - $136K ,136000.0
WEG Electric Corp,4.3,Software Engineer - Wind,"Barre, VT",6d,$80K ,80000.0
Brown and Caldwell,4.3,Software Engineer,"Atlanta, GA",3d,$79K - $126K ,126000.0
Vertafore,3.7,Software Engineer II,"Melville, NY",2d,$87K - $119K ,119000.0
"Aerodyne Industries, LLC",3.1,Simulation Software Engineer (ADV00095I),"Kennedy Sp Ct, FL",1d,$72K - $94K ,94000.0
KAIROS Inc,3.5,Software Engineer,"Dahlgren, VA",16d,$6K - $7K ,7000.0
Topaz Labs,3.7,Senior Software Engineer - Photo AI,"Dallas, TX",30d+,$68K - $106K ,106000.0
S3,3.8,Software Engineer- 826245,"Stennis Space Center, MS",20d,$56K - $88K ,88000.0
"J. Paul Getty Trust, The",4.1,Software Engineer Sr,"Los Angeles, CA",30d+,$72K - $113K ,113000.0
Topaz Labs,3.4,Software Engineer - ML Performance / HPC,"Dallas, TX",30d+,$90K - $119K ,119000.0
Rover.com,3.2,"Senior Software Engineer, Orders Team","Seattle, WA",25d,$101K - $135K ,135000.0
University of Oregon,3.8,Research Software Engineer,"Eugene, OR",2d,$155K - $180K ,180000.0
dōTERRA International,4.0,Software Engineer II,Utah,12d,$85K - $114K ,114000.0
AHU Technologies,4.6,Software Engineer,"Newark, DE",12d,$130K - $160K ,160000.0
ALSTOM,3.4,Software Engineer,"Pittsburgh, PA",2d,$160K - $250K ,250000.0
Jack Henry & Associates,2.9,Software Release Engineer,United States,8d,$100K ,100000.0
ISPA Technology,3.0,Junior Software Systems Engineer,"Washington, DC",23d,$120K - $150K ,150000.0
"Universal Health Services, Inc. - Corporate Office",3.4,Associate Software Engineer - Data Analytics,"King of Prussia, PA",30d+,$96K - $146K ,146000.0
Relias,3.8,Associate Software Engineer,"Morrisville, NC",4d,$107K - $144K ,144000.0
Tickrs Clearing,3.1,Software Engineer,"Irvine, CA",2d,$138K - $189K ,189000.0
CTC Group,4.8,Software Engineer,"Fort Meade, MD",30d+,$78K - $118K ,118000.0
GoTab Inc,3.5,Jr. Deployment Engineer,"Arlington, VA",10d,$113K - $139K ,139000.0
ILOGIC INC,3.5,SOFTWARE DEVELOPERS,Township of Hamilton,30d+,$80.00 Per Hour ,166400.0
CSX,3.8,Software Engineer II - Service Now,"Jacksonville, FL",23d,$70K - $109K ,109000.0
Synergy ECP,4.4,Junior Software Engineer,"Fort Meade, MD",2d,$73K - $117K ,117000.0
M&T Bank,5.0,Software Engineer III,"Wilmington, DE",30d+,$62K - $107K ,107000.0
Cardlytics,5.0,Software Engineer III,"Menlo Park, CA",18d,$124K - $169K ,169000.0
"Stefanini, Inc",3.8,AWS Cloud Engineer,"Richmond, VA",1d,$96K - $117K ,117000.0
Innovative Systems,3.8,C Software Engineer,"Pittsburgh, PA",9d,$84K - $140K ,140000.0
Parabola,3.8,"Software Engineer, Full Stack",United States,8d,$66K - $94K ,94000.0
Vibrint,3.5,Software Engineer I (Python Developer),United States,11d,$70K - $120K ,120000.0
Millennium Management,4.2,Front End Engineer,United States,4d,$78K - $126K ,126000.0
Sagitec,3.9,Software Engineer,"Saint Paul, MN",2d,$165K - $209K ,209000.0
Innovien Solutions,3.3,Sr. Software Engineer,"Atlanta, GA",6d,$116K - $150K ,150000.0
Ocean Power Technologies Inc,3.8,Software Engineer,United States,2d,$107K - $192K ,192000.0
Riverside Research Institute,4.8,Software Engineer,"Fairborn, OH",3d,$79K - $120K ,120000.0
Staffed4U,5.0,Java Software Engineer,"Annapolis Junction, MD",30d+,$94K - $153K ,153000.0
Uber Freight,5.0,Software Engineer II,"Chicago, IL",1d,$84K - $129K ,129000.0
Snowflake,4.1,Software Engineer - Database Engineering,"Bellevue, WA",4d,$82K - $129K ,129000.0
Likewize,4.0,Jr DevOps Engineer,"Dallas, TX",2d,$61K - $104K ,104000.0
MassMutual Ascend,4.0,Senior Software Engineer II,"Cincinnati, OH",19d,$182K - $244K ,244000.0
Washington DC government,4.7,React Developer,Remote,2d,$96K - $116K ,116000.0
AnaVation,3.7,Software Developer,"Quantico, VA",3d,$68K - $136K ,136000.0
3R Info,3.9,Software Engineer,"Canton, MI",30d+,$93K - $132K ,132000.0
Strategic Mission Elements,3.5,Software Developer (TypeScript/JavaScript),"Chantilly, VA",26d,$77K - $125K ,125000.0
"IPSecure, Inc.",3.9,Senior Software Engineer,"Patrick AFB, FL",4d,$52K - $200K ,200000.0
RELX,3.2,Software Engineer II,Georgia,2d,$81K - $118K ,118000.0
Solventum,3.6,Software Engineer - Front-end (Solventum),"Maplewood, MN",3d,$128K - $192K ,192000.0
Focus Technology Solutions Inc,3.0,Cloud Engineer,"Boston, MA",4d,$150K - $225K ,225000.0
Two Six Technologies,4.1,Software Engineer,"Warrenton, VA",17d,$50.00 Per Hour ,104000.0
"Adams, Inc.",3.2,Software Engineer,Tennessee,4d,$85K - $120K ,120000.0
CPS Insurance Services,3.4,Junior Software Developer,"Phoenix, AZ",1d,$192K - $245K ,245000.0
Cephas,3.1,Software Engineer,"Melbourne, FL",4d,$114K - $182K ,182000.0
Chubb,3.4,Software Engineer - Java Springboot (DT),"Whitehouse Station, NJ",3d,$102K - $134K ,134000.0
Uber Freight,3.6,Software Engineer III - Mobile (Multiple Openings),"San Francisco, CA",9d,$101K - $160K ,160000.0
Consumers Energy,4.8,Assoc Software Engineer,"Jackson, MI",6d,$90K - $124K ,124000.0
U.S. Bank National Association,3.4,Senior Software Engineer,"Hopkins, MN",1d,$88K - $128K ,128000.0
MedImpact Healthcare Systems,3.5,Software Engineer IV,"San Diego, CA",30d+,$83K - $131K ,131000.0
IMC Financial Markets,3.1,Graduate Software Engineer,"Chicago, IL",17d,$70K - $90K ,90000.0
Truveta,4.0,Software Engineer - Normalization,"Seattle, WA",3d,$164K - $182K ,182000.0
"Signature Science, LLC",4.2,Software Engineer,"Egg Harbor Township, NJ",23d,$73K - $92K ,92000.0
JYG Innovations,4.1,Web Developers,"Frederick, MD",2d,$108K - $200K ,200000.0
Vensit,3.5,Software Engineer,"Sayreville, NJ",30d+,$123K - $160K ,160000.0
Independent Software,3.9,Software Engineer - Apprentice,United States,17d,$112K - $141K ,141000.0
"Visionist, Inc.",3.5,Junior Software Engineer,"Fort Meade, MD",10d,$101K - $160K ,160000.0
NCR,3.1,Software Dev Ops Engineer II,Indiana,3d,$69K - $143K ,143000.0
Clearwater Analytics,3.6,Senior Software Development Engineer,"Seattle, WA",9d,$120K - $140K ,140000.0
"Technical Intelligence Solutions, LLC",3.0,Software Engineer,"Crystal City, VA",2d,$68K - $120K ,120000.0
CVS Health,3.8,Associate Software Development Engineer - Colleague Experience,"Woonsocket, RI",29d,$104K - $136K ,136000.0
"Delta Defense, LLC",3.9,"Associate Engineer, Analytics","West Bend, WI",2d,$82K - $115K ,115000.0
Koalafi,3.2,Backend Software Engineer,"Richmond, VA",13d,$161K - $239K ,239000.0
INTEL,4.1,AI Research Engineer,Arizona,17d,$107K - $150K ,150000.0
No.Inc,5.0,Software Engineer,"Baltimore, MD",5d,$91K - $122K ,122000.0
f5,3.5,Software Engineer III,"Seattle, WA",30d+,$103K - $144K ,144000.0
Arcadia Science,3.3,"Software Engineer, Product","Berkeley, CA",6d,$80K - $100K ,100000.0
Artint Knowledge Tech,3.5,Firmware (Linux) Dev I,Remote,5d,$100K - $128K ,128000.0
Castellum Inc,4.1,Software Engineer,"Patuxent River, MD",30d+,$90K - $180K ,180000.0
Instacart,3.7,"Senior Software Engineer, Core Experiences",Remote,12d,$110K - $130K ,130000.0
WALGREENS,4.4,Software Engineer (RxR),"Deerfield, IL",1d,$76K - $121K ,121000.0
Duquesne Light,3.6,Software Engineer III,"Pittsburgh, PA",16d,$88K - $111K ,111000.0
Super Micro Computer,3.0,Software Engineer,"San Jose, CA",30d+,$73K - $116K ,116000.0
UCare,4.4,Software Engineer Senior â€“ Azure,"Minneapolis, MN",19d,$182K - $273K ,273000.0
CyberCore Technologies,2.6,Software Engineer 0,"Annapolis Junction, MD",9d,$85K - $113K ,113000.0
CoinFlip,3.5,AWS DevOps Engineer,"Chicago, IL",25d,$65K - $95K ,95000.0
BI Labs,4.1,SOFTWARE DEVELOPERS (021),"Plainsboro, NJ",30d+,$109K - $168K ,168000.0
Sahbi Systems,4.1,Software Engineers,Alabama,18d,$80K - $99K ,99000.0
Cultura Technologies Inc,4.4,Sr Software Engineer,Remote,1d,$104K - $153K ,153000.0
Excelacom,4.0,DevOps Engineer,"Denver, CO",3d,$78K - $129K ,129000.0
Cityblock Health,4.1,Senior Software Engineer,New York State,9d,$82K - $118K ,118000.0
Rocket Software,4.3,Machine Learning Software Engineer,Massachusetts,3d,$138K - $294K ,294000.0
Huntington Ingalls Industries Inc.,3.3,Software Engineer (Hybrid) - 19943,"Columbia, MD",11d,$136K - $187K ,187000.0
Intuitive Machines LLC,3.8,Research Software Engineer,"Houston, TX",10d,$295K - $440K ,440000.0
Equifax,4.4,Software Engineer - Career,"Alpharetta, GA",3d,$95K - $146K ,146000.0
Super Micro Computer,4.0,Software Engineer,"San Jose, CA",19d,$117K - $161K ,161000.0
Akamai,4.0,Software Engineer - Remote,United States,9d,$173K ,173000.0
Mailprotector,4.6,Software Engineer,Remote,2d,$50.00 Per Hour ,104000.0
Blockit Now Inc,3.8,Elixir Software Engineer,"McKinney, TX",5d,$175K - $250K ,250000.0
TENICA and Associates LLC,4.1,Software Systems Engineer TS/SCI CI poly,"Las Cruces, NM",5d,$55K - $140K ,140000.0
Arch Capital Group Ltd.,3.9,Software Engineer II,"Greensboro, NC",5d,$126K - $234K ,234000.0
Lynker Corporation,3.9,Software Engineer,"Stennis Space Center, MS",30d+,$78K - $129K ,129000.0
YouTube,3.2,"Senior Software Engineer, Full Stack, YouTube","New York, NY",1d,$75K - $102K ,102000.0
Perforce Software,4.2,Senior Software Engineer - US,Remote,2d,$115K - $150K ,150000.0
World Vision USA,3.8,Sr. Software Engineer,United States,16d,$115K - $160K ,160000.0
Featurespace,5.0,Software Engineer,"Atlanta, GA",30d+,$82K - $92K ,92000.0
Bigbear.ai,3.7,Software Engineer,"Columbia, MD",9d,$120K - $130K ,130000.0
"Benistar Administrative Services, Inc.",3.9,AWS Cloud Engineer,"Avon, CT",2d,$86K - $131K ,131000.0
State of Colorado Job Opportunities,4.7,Cloud Engineer (Remote from anywhere in Colorado),Colorado,2d,$92K - $133K ,133000.0
Intellisource Colorado LLC,3.1,Senior Software Engineer - Enterprise People Technology,"Bentonville, AR",3d,$112K - $165K ,165000.0
NBCUniversal,4.4,Post Software Engineer,"Englewood Cliffs, NJ",3d,$145K - $162K ,162000.0
Artera Technologies,4.4,Cloud Software Engineers,United States,6d,$147K - $189K ,189000.0
Thompson Gray Inc.,4.7,Engineer (Software),Redstone Arsenal,30d+,$72K - $159K ,159000.0
Origence,4.0,Software Engineer - CUDL Modernization,Remote,1d,$79K - $111K ,111000.0
Medius,3.6,Software Engineer,"Jacksonville, FL",30d+,$115K - $161K ,161000.0
f5,3.8,Principal Software Engineer,"Seattle, WA",4d,$82K - $102K ,102000.0
CNH Industrial,3.8,Software Engineer II,Remote,2d,$86K - $136K ,136000.0
Fusion Plus Solutions Inc.,3.7,Software Engineers,"Edison, NJ",30d+,$170K - $200K ,200000.0
University of Florida,3.2,Software Engineer I/II,Florida,16d,$90K - $116K ,116000.0
Northwestern Mutual,3.8,Software Engineer,"Franklin, WI",4d,$114K - $152K ,152000.0
Vibrint,3.8,Software Engineer I,"Annapolis Junction, MD",30d+,$80K - $120K ,120000.0
Hubbell Incorporated,3.4,Sr Assoc Software Engineer,"Avon, CT",1d,$95K - $126K ,126000.0
Valkyrie Enterprises,3.8,Junior Computer/Software Engineer (Job ID: 3433),"Huntsville, AL",23d,$138K - $178K ,178000.0
Two Six Technologies,4.5,Software Engineer,"Herndon, VA",30d+,$61K - $147K ,147000.0
Decision Six,3.6,Software Engineer,United States,5d,$124K - $211K ,211000.0
Microsoft,4.4,Software Engineer,"Redmond, WA",4d,$90K - $117K ,117000.0
Ateliere Creative Technologies,4.1,Senior DevOps Engineer - Los Angeles,"Los Angeles, CA",2d,$98K - $209K ,209000.0
OpenAI,3.1,"Software Engineer, Hardware Health","San Francisco, CA",5d,$78K - $121K ,121000.0
Two Six Technologies,2.7,Software Engineer,"Tysons Corner, VA",17d,$100K - $165K ,165000.0
Splunk,3.5,Software Engineer (US Remote Available),Remote,3d,$125K ,125000.0
Sasken,4.1,Software Engineer,United States,6d,$71K - $112K ,112000.0
RealmOne,3.8,Software Engineer,United States,5d,$95K - $152K ,152000.0
The Wolf Works LLC,4.4,Node JS,"Austin, TX",2d,$86K - $105K ,105000.0
Millennium Management,3.8,Software Engineer - C#,"New York, NY",30d+,$135K - $216K ,216000.0
"Aflac, Incorporated",4.0,Software Engineer III,Remote,1d,$93K - $112K ,112000.0
RingCentral,3.9,Software Engineer,"Belmont, CA",24d,$104K - $161K ,161000.0
Dallas Area Rapid Transit,3.7,Software Engineer-BI,"Dallas, TX",30d+,$77K - $121K ,121000.0
W R Systems,3.5,Software Engineer,"Dahlgren, VA",4d,$95K - $134K ,134000.0
"CARECRAFT, INC",3.7,Software Engineer,"Carlsbad, CA",10d,$125K - $178K ,178000.0
SpecialT Tech,3.1,Cloud Engineer Manager,Remote,25d,$76K - $108K ,108000.0
"Hottinger, Bruel & Kjaer",4.5,Software Engineer,"Pompano Beach, FL",30d+,$77K - $116K ,116000.0
"CPS Solutions, LLC",4.1,DevOps Engineer,United States,3d,$82K - $106K ,106000.0
Northwestern Memorial Healthcare,4.2,Software Developers,"Chicago, IL",10d,$86K - $120K ,120000.0
The Swift Group,4.1,Software Engineer,"Columbia, MD",30d+,$96K - $146K ,146000.0
ASUS Computer International,4.9,Software Engineer - AI,"Hillsboro, OR",30d+,$96K - $137K ,137000.0
Persistent Systems,4.6,Workday Software Engineer,United States,9d,$141K - $239K ,239000.0
Cedar Inc,3.3,Software Engineer II (Communications Platform),"New York, NY",20d,$108K - $140K ,140000.0
Salesforce,3.1,Software Engineering MTS,"San Francisco, CA",3d,$40.00 - $55.00 Per Hour ,114400.0
CVS Health,2.4,"Software Developer - C#, .NET","Scottsdale, AZ",3d,$108K - $195K ,195000.0
Nautilus Hyosung America Inc,3.1,Software Engineer,"Irving, TX",3d,$111K - $184K ,184000.0
Blue Origin,4.4,Embedded Flight Software Engineer – New Glenn,"Seattle, WA",2d,$189K - $284K ,284000.0
West Bend Insurance Company,4.9,Software Engineer,"West Bend, WI",1d,$79K - $109K ,109000.0
JBT Corporation,4.1,Software Engineer C#,"Chalfont, PA",15d,$94K - $129K ,129000.0
Cedar Inc,3.1,Software Engineer III (Payment Workflows),"New York, NY",19d,$56K - $83K ,83000.0
Allied Business Consulting,3.8,SOFTWARE DEVELOPERS,"Somerset, NJ",13d,$202K - $290K ,290000.0
"Chick-fil-A, Inc.",2.3,Senior Software Engineer - Backend Development,"Atlanta, GA",11d,$70K - $103K ,103000.0
"US AMR-Jones Lang LaSalle Americas, Inc.",3.8,Software Engineering,"San Francisco, CA",2d,$86K - $121K ,121000.0
Smart IMS,3.8,Software Engineer,"Austin, TX",30d+,$74K - $107K ,107000.0
Clearwater Analytics,4.7,Software Development Engineer,"San Jose, CA",30d+,$81K - $113K ,113000.0
